station,SOC provided,whether_electrified,whether_electrified
523,21965.53101,TRUE,TRUE
524,5920.130505,FALSE,FALSE
525,6684.338327,FALSE,FALSE
526,6572.115746,FALSE,FALSE
527,13860.13996,TRUE,TRUE
528,10167.817,TRUE,TRUE
529,12915.41381,TRUE,TRUE
530,7870.342262,FALSE,FALSE
531,15102.36198,TRUE,TRUE
532,3943.577222,FALSE,FALSE
533,0,FALSE,FALSE
534,3535.728461,FALSE,FALSE
536,9899.911083,TRUE,TRUE
537,13693.16738,TRUE,TRUE
539,20934.78175,TRUE,TRUE
540,11741.84456,TRUE,TRUE
545,13108.94594,TRUE,TRUE
546,10649.01226,TRUE,TRUE
2000,15088.77001,TRUE,TRUE
2001,2059.195095,TRUE,TRUE
2002,20276.22768,TRUE,TRUE
2003,11261.99701,TRUE,TRUE
2005,266.2642998,FALSE,FALSE
2006,16432.86939,TRUE,TRUE
2008,15814.47321,TRUE,TRUE
2009,2335.111355,FALSE,FALSE
2010,5635.684406,FALSE,FALSE
2012,5917.22433,FALSE,FALSE
2021,10948.13904,TRUE,TRUE
2022,1547.116458,FALSE,FALSE
2023,3408.353145,FALSE,FALSE
3002,18344.92035,TRUE,TRUE
3016,3623.832357,FALSE,FALSE
3040,0,FALSE,FALSE
3041,606.3051927,FALSE,FALSE
3042,706.1244144,FALSE,FALSE
3043,356.3028908,FALSE,FALSE
3044,191.0788137,FALSE,FALSE
3046,310.225582,FALSE,FALSE
3047,386.1473767,FALSE,FALSE
3048,472.2163709,FALSE,FALSE
3049,758.8552066,FALSE,FALSE
3050,474.8275174,FALSE,FALSE
3052,350.7731103,FALSE,FALSE
3053,427.6422835,FALSE,FALSE
3054,550.5719444,FALSE,FALSE
3055,637.7312561,FALSE,FALSE
3056,3394.104532,TRUE,TRUE
3057,1014.240951,FALSE,FALSE
3058,527.8948299,FALSE,FALSE
3059,345.090797,FALSE,FALSE
3060,384.9192894,FALSE,FALSE
3061,271.9793941,FALSE,FALSE
3062,366.6359786,FALSE,FALSE
3063,368.4121183,FALSE,FALSE
3064,1062.645781,FALSE,FALSE
3065,280.1236263,FALSE,FALSE
3066,282.7203994,FALSE,FALSE
3067,500.4792543,FALSE,FALSE
3068,524.3358475,FALSE,FALSE
3069,287.4176446,FALSE,FALSE
3070,488.6201465,FALSE,FALSE
3071,480.7537633,FALSE,FALSE
3072,3197.727768,TRUE,TRUE
3073,495.6306025,FALSE,FALSE
3074,890.2357647,FALSE,FALSE
3075,153.8265636,FALSE,FALSE
3076,759.3591935,FALSE,FALSE
3077,1665.750813,FALSE,FALSE
3078,1487.990242,FALSE,FALSE
3080,1390.890789,FALSE,FALSE
3081,1352.873331,FALSE,FALSE
3082,1632.693312,FALSE,FALSE
3083,1146.485404,FALSE,FALSE
3085,0,FALSE,FALSE
3086,1138.91792,FALSE,FALSE
3087,1542.69121,FALSE,FALSE
3088,722.6988554,FALSE,FALSE
3090,1100.899081,FALSE,FALSE
3091,887.289952,FALSE,FALSE
