stationid,duration
539,15972070
540,13226429
545,16281605
546,12782186
2000,14868250
2001,1930905
2002,13242902
2003,12853427
2005,689847
2006,51657079
2008,32139819
2009,7880264
2010,13677451
2012,10983813
2021,18566685
2022,4418312
2023,7508839
3002,38889871
3016,19611981
3040,5095
3041,26788881
3042,54720387
3043,10190922
3044,23429478
3046,16596509
3047,24546335
3048,9774152
3049,2858441
3050,11482247
3052,28179262
3053,5394473
3054,10621736
3055,2803894
3056,5277770
3057,7333053
3058,28142718
3059,13731990
3060,5562495
3061,9388759
3062,11729186
3063,2577219
3064,19064578
3065,9608010
3066,3405003
3067,26929576
3068,55345512
3069,5306388
3070,3274443
3071,3956428
3072,7750111
3073,2709437
3074,16076446
3075,3201585
3076,8038708
3077,11248848
3078,7433671
3080,14268153
3081,3379099
3082,7319885
3083,5859637
3085,5211250
3086,6417356
3087,10484775
3088,2409116
3090,7213550
3091,2059561
3092,7757548
3093,13864739
3094,2990629
3095,1583074
3096,6447461
3100,3765923
3101,6345480
3102,4534657
3103,8892741
3105,4891167
3106,3903333
3107,9589184
3108,5309520
3109,4470555
3110,5071013
3111,963580
3112,10573021
3113,6906229
3115,5538605
3116,5086379
3117,3843466
3118,4672763
3119,8560953
3120,3480522
3121,3068705
3122,3276067
3123,1697130
3124,5029483
3125,4359947
3126,5303768
3127,1596601
3128,1468281
3129,12946559
3130,2440527
3131,3874035
3132,9854346
3134,7158427
3135,5039028
3136,14044727
3137,28923014
3139,11145248
3140,13283124
3141,18069760
3142,14232234
3143,19217994
3144,2471499
3145,7329955
3146,6015852
3147,10786513
3148,3898446
3150,5346438
3151,6014979
3152,3792080
3155,5541932
3156,9300507
3157,3485521
3158,15445909
3159,13642286
3160,19630236
3161,9505028
3162,7721994
3163,24691436
3164,19675318
3165,28734934
3166,17120948
3167,16329179
3168,21253078
3169,10758788
3170,6849242
3171,10442659
3172,5641094
3173,15379425
3175,14830660
3176,8050651
3177,11781621
3178,10437678
3179,12159750
3180,17239034
3182,14103525
3183,0
3184,0
3185,0
3186,0
3187,0
3188,0
3192,0
3193,0
3194,0
3197,0
3199,0
3201,0
3202,0
3203,0
3205,0
3211,0
3213,0
3214,0
3221,2168826
3223,12674221
3224,22793788
3226,10316912
3231,4595664
3232,9234294
3233,13607846
3235,8809416
3236,14353336
3238,6791739
3240,0
3241,6165438
3242,9378403
3243,7999947
3244,14753589
3245,267796
3247,0
3249,12515062
3250,10035
3253,0
3254,18249745
3255,32458864
3256,31889271
3257,157077
3258,14161151
3259,13378465
3260,15893804
3263,21120591
3267,0
3273,0
3275,0
3276,0
3282,30896294
3283,6325713
3284,3628871
3285,7472986
3286,6017350
3288,7096013
3289,4416179
3290,4879232
3292,9901041
3293,6615467
3294,4507960
3295,14636331
3296,1571685
3297,2541496
3298,4224923
3299,0
3300,6571381
3301,6544847
3302,1787178
3303,3138252
3304,3450332
3305,8455852
3306,2908464
3307,7991383
3308,3184883
3309,1504487
3310,3494468
3311,4359613
3312,5953391
3313,2189494
3314,8889761
3315,3378683
3316,5662368
3317,3058067
3318,7083444
3319,4484103
3320,11202614
3321,3000866
3322,5029521
3323,13283977
3324,7724721
3325,3157405
3326,1353340
3327,998383
3328,5759090
3329,2735322
3330,1568187
3331,10399148
3332,1320105
3333,1827030
3335,4653194
3336,7457777
3337,1560573
3338,1668648
3339,3381720
3340,1849928
3341,6421913
3342,3927622
3343,4925836
3344,3586054
3345,3204297
3346,4861043
3347,3943059
3348,2999803
3349,20164859
3350,8178144
3351,4712354
3352,1250511
3353,4933836
3354,11436343
3355,3694819
3356,4511288
3357,6774883
3358,3355754
3359,3648544
3360,9390385
3361,3058449
3362,8958538
3363,2366089
3364,3961522
3365,7974749
3366,5528456
3367,10196610
3368,5361930
3369,3743099
3370,3662123
3371,1881065
3372,7602410
3373,3683873
3374,38433035
3375,3645349
3376,4729816
3377,3787170
3378,5497105
3379,2305737
3381,1606801
3382,6505711
3383,17991965
3384,2629787
3386,2435312
3387,2742794
3388,2883753
3389,3027573
3390,4605984
3391,2671929
3392,1872566
3393,1023881
3394,1866094
3395,1141875
3396,3512617
3397,3771406
3398,3610255
3399,2119086
3400,10927661
3401,1763375
3402,5971017
3403,3162138
3404,5037672
3405,2468488
3407,4443366
3408,4569995
3409,11150983
3410,2843490
3411,3250652
3412,2605273
3413,2751358
3414,4989275
3415,3129518
3416,7616037
3417,3686287
3418,21054394
3419,3292841
3420,3395523
3421,1949296
3422,4327179
3423,22381094
3424,1792729
3425,2592454
3427,21648729
3428,16594469
3429,14003835
3430,3527797
3431,9121774
3432,412511
3434,5472978
3435,23999597
3436,12358148
3437,5136712
3438,4400507
3440,18806831
3441,1637993
3443,19989659
3445,3066045
3447,7375168
3449,1512496
3452,1508531
3453,4171871
3454,3843995
3455,2553947
3456,956824
3457,3467774
3458,15942864
3459,9700956
3461,11706270
3462,7043046
3463,10356582
3464,3233510
3466,10746211
3467,5453559
3468,128727
3469,2042629
3470,58920
3471,0
3472,13579192
3474,6889104
3476,2610701
3477,1287946
3478,2606105
3479,3935356
3480,0
3481,0
3486,1064774
3489,1817669
3490,203421
3492,59941
3493,161657
3494,209442
3495,255406
3496,363571
3497,556201
3499,65208
3500,137163
3501,186258
3502,131683
3503,190316
3504,262584
3506,35297
3507,66971
3508,341431
3509,684164
3510,466328
3511,453163
3518,821067
3527,0
3529,658769
3531,163659
3533,262235
3535,647361
3536,1035416
3538,225570
3540,261254
3541,52337
3542,1210647
3545,473628
3547,542900
3551,152406
3552,895436
3553,2080219
3554,124711
3555,0
3556,48699
3557,0
3560,41674
3561,121583
3563,33179
3564,9624
3565,51566
3566,24872
3567,14562
3568,37691
3570,34076
3572,64131
3573,50163
3577,18190
3586,1932
3588,36708
3589,35097
3591,3825
3592,23086
3593,27353
3597,0
3598,17094
3602,39846
3603,15768
3605,12913
3609,18152
3610,4584
3611,0
3615,0
3623,0
3625,0
3629,0
3632,1401305
3635,595594
3636,0
3637,76453
3641,0
3646,0
3647,0
3648,0
3649,0
3656,0
3659,0
3666,0
3669,0
3671,0
3674,0
3676,0
3677,0
3679,0
3684,0
3686,0
3689,0
